Category,Message,Label,Clean
ham,Cuz ibored. And don wanna study,0,cuz ibor wanna studi
ham,Wife.how she knew the time of murder exactly,0,wife knew time murder exactli
ham,Wat's da model num of ur phone?,0,wat da model num ur phone
ham,Nite...,0,nite
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",1,contact date servic someon know find call land line pobox w tg p
ham,If india win or level series means this is record:),0,india win level seri mean record
spam,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",1,urgent import inform user today lucki day find log onto http www urawinn com fantast surpris await
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then,0,know shall speak lt gt minut
ham,Ugh fuck it I'm resubbing to eve,0,ugh fuck resub eve
ham,Dude we should go sup again,0,dude go sup
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,1,monthli password wap mobsi com use wap phone pc
spam,88066 FROM 88066 LOST 3POUND HELP,1,lost pound help
ham,Went fast asleep dear.take care.,0,went fast asleep dear take care
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,1,u secret admir look make contact u find r reveal think ur special call
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp å£1.50/msg,1,wanna get laid nite want real dog locat sent direct ur mobil join uk largest dog network txt park nyt ec lp msg
spam,Urgent! Please call 09061213237 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,1,urgent pleas call landlin cash luxuri canari island holiday await collect cs sae po box xy ppm
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,1,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron
spam,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts,1,lord ring return king store repli lotr june chanc win lotr soundtrack cd stdtxtrate repli stop end txt
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",0,anyway think secur anyth lemm know want drive south chill
ham,Ok.. ÌÏ finishing soon?,0,ok finish soon
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with \ADP\""""",1,chanc win free bluetooth headset simpli repli back adp
ham,Lol for real. She told my dad I have cancer,0,lol real told dad cancer
spam,Reply to win å£100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,1,repli win weekli fifa world cup held send stop end servic
spam,XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only,1,xma prize draw tri contact u today draw show prize guarante call land line valid hr
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,1,urgent tri contact u today draw show prize guarante call land line claim valid hr
ham,Ok no prob...,0,ok prob
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,1,get ur st rington free repli msg tone gr top tone phone everi week per wk opt send stop
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",0,know god creat gap finger one made come amp fill gap hold hand love
ham,what are your new years plans?,0,new year plan
spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,1,congratul ur award either cd gift voucher free entri weekli draw txt music tnc www ldew com win ppmx age
spam,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",1,thank rington order refer number x mobil charg tone arriv pleas call custom servic colour red text colour txtstar
ham,"I don't think I can get away for a trek that long with family in town, sorry",0,think get away trek long famili town sorri
spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,1,burger king wanna play footi top stadium get burger king st sept go larg super coca cola walk winner
ham,"\CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X\""""",0,cheer callin babe sozi culdnt talkbut wannatel u detail later wenwecan chat properli x
spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Callså£1/minMobsmore LKPOBOX177HP51FL,1,new club dont fink met yet b gr c u pleas leav msg day wiv ur area repli promis carli x call minmobsmor lkpobox hp fl
ham,Then we gotta do it after that,0,gotta
ham,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO ,0,im reali soz imat mum nite moro
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,1,u secret admir look make contact u find r reveal think ur special call
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",1,guarante latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1,congratul ur award cd voucher gift guarante free entri wkli draw txt music tnc www ldew com win ppmx age
spam,"Ur balance is now å£600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",1,ur balanc next question complet landmark big bob b barri c ben text b c good luck
spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,1,discount code rp stop messag repli stop www regalportfolio co uk custom servic
ham,"It's wylie, you in tampa or sarasota?",0,wyli tampa sarasota
ham,Yup next stop.,0,yup next stop
spam,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",1,special select receiv award call line close cost ppm cs appli ag promo
ham,ÌÏ dun need to pick ur gf?,0,dun need pick ur gf
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,1,big brother alert comput select u k cash voucher call ntt po box cro bt landlin cost ppm mobil vari
ham,Good morning princess! Happy New Year!,0,good morn princess happi new year
ham,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc",0,hiya u pay money account thank got pleasant surpris check balanc u c get statement acc
ham,\Wen u miss someone,0,wen u miss someon
ham,I know complain num only..bettr directly go to bsnl offc nd apply for it..,0,know complain num bettr directli go bsnl offc nd appli
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",0,haha got fast lose weight thk muz go month den got effect gee later go aust put bk e weight
spam,"URGENT! Your Mobile No 07808726822 was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",1,urgent mobil award bonu caller prize nd attempt contact call box qu
ham,Unless it's a situation where YOU GO GURL would be more appropriate,0,unless situat go gurl would appropri
spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077,1,kick new season wk free goal news ur mobil txt ur club name eg villa
spam,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for å£3/wk,1,free rington repli real poli eg real pushbutton dontcha babygoodby golddigg webeburnin st tone free u join wk
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,1,import custom servic announc call freephon
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",1,u meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign e g horo ari
ham,Well. Balls. Time to make calls,0,well ball time make call
spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,1,current lead bid paus auction send custom care
ham,Okie...,0,oki
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),1,call send girl erot ecstaci p min stop text call nat rate
spam,Missed call alert. These numbers called but left no message. 07008009200,1,miss call alert number call left messag
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,1,text meet someon sexi today u find date even flirt u join p repli name age eg sam msg recd thirtyeight penc
ham,I dont thnk its a wrong calling between us,0,dont thnk wrong call us
ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com,0,plz tell an bslvyl sent via fullonsm com
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,1,new textbuddi chat horni guy ur area p free receiv search postcod gaytextbuddi com txt one name
ham,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,0,slave want take pictur today bright light cell phone bright light
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",0,sure get acknowledg astoundingli tactless gener faggi demand blood oath fo
spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",1,orang bring rington time chart hero free hit week go rington pic wap stop receiv tip repli stop
ham,Try to do something dear. You read something for exams,0,tri someth dear read someth exam
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99,1,award sipix digit camera call landlin deliveri within day cs box bp yr warranti ppm p p
spam,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",1,hi sexychat girl wait text text great night chat send stop stop servic
spam,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p ",1,someon u know ask date servic contact cant guess call reveal pobox xy p
spam,74355 XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC,1,xma iscom ur award either cd gift voucher free entri r weekli draw txt music tnc
ham,Happy birthday... May all ur dreams come true...,0,happi birthday may ur dream come true
ham,2 and half years i missed your friendship:-),0,half year miss friendship
ham,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",0,u wake alreadi wat u u pick us later rite take sq reach ard smth like dat u check e arriv time c ya soon
spam,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,1,want anytim network min text new video phone five pound per week call repli deliveri tomorrow
ham,I'll be at mu in like  &lt;#&gt;  seconds,0,mu like lt gt second
ham,"What do u reckon as need 2 arrange transport if u can't do it, thanks",0,u reckon need arrang transport u thank
ham,Tell rob to mack his gf in the theater,0,tell rob mack gf theater
ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,0,sorri c ur msg yar lor poor thing one night tmr u brand new room sleep
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,1,urgent tri contact u today draw show prize guarante call land line claim valid hr
ham,"Usf I guess, might as well take 1 car",0,usf guess might well take car
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,1,camera award sipix digit camera call fromm landlin deliveri within day
spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",1,dear voucher holder claim week offer pc go http www e tlp co uk expressoff ts cs appli stop text txt stop
ham,Minimum walk is 3miles a day.,0,minimum walk mile day
ham,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,0,lol ok ill tri send warn sprint dead slow prolli get tomorrow
ham,"Sorry my roommates took forever, it ok if I come by now?",0,sorri roommat took forev ok come
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",1,shop till u drop either k k cash travel voucher call ntt po box cr bt fixedlin cost ppm mobil vari
ham,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.,0,lol gonna last month cash left lt gt case collect week caus announc blog
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,1,gr new servic live sex video chat mob see sexiest dirtiest girl live ur phone detail text horni cancel send stop
ham,ÌÏ neva tell me how i noe... I'm not at home in da aft wat... ,0,neva tell noe home da aft wat
ham,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:),0,imagin life without see fast u search worri l alway disturb u goodnoon
spam,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",1,simpson movi releas juli name band die start film green day b blue day c red day send b c
ham,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc.",0,think actual talk call boss morn went place last year told could go get car fix cheaper kept tell today much hope would come back alway regret get number etc
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&,1,free video camera phone half price line rental mth cross ntwk min txt call mobileupd call optout
ham,Ok Chinese food on its way. When I get fat you're paying for my lipo.,0,ok chines food way get fat pay lipo
ham,"I'm in a meeting, call me later at",0,meet call later
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,0,shuhui say chang suntec steamboat u noe r u
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,1,doubl min doubl txt price linerent latest orang bluetooth mobil call mobileupd latest offer call optout lf
spam,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,1,tri contact repli offer video phone anytim network min half price line rental camcord repli call
ham,When u wana see it then,0,u wana see
ham,Watching telugu movie..wat abt u?,0,watch telugu movi wat abt u
ham,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,0,never want tell short edg late
spam,YOU ARE CHOSEN TO RECEIVE A å£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,1,chosen receiv award pl call claim number collect award select receiv valu mobil custom
ham,Painful words- \I thought being Happy was the most toughest thing on Earth... But,0,pain word thought happi toughest thing earth
spam,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,1,free entri weekli comp send word enter c www textcomp com cust care
ham,The evo. I just had to download flash. Jealous?,0,evo download flash jealou
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.",0,kind miss train co asthma attack nxt one half hr drive sure park
ham,So what u doing today?,0,u today
ham,Double eviction this week - Spiral and Michael and good riddance to them!,0,doubl evict week spiral michael good riddanc
spam,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,1,today voda number end select receiv award hava match pleas call quot claim code standard rate app
ham,Is that seriously how you spell his name?,0,serious spell name
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",1,congrat mobil g videophon r call videochat wid ur mate play java game dload polyph music nolin rentl bx ip p
ham,Is xy going 4 e lunch?,0,xy go e lunch
ham,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",0,ah well confus thing doesnt thought friend mayb wrong thing alreadi sort invit tho may come co money
ham,Hi good mornin.. Thanku wish u d same..,0,hi good mornin thanku wish u
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",1,urgent import inform user today lucki day find log onto http www urawinn com fantast surpris await
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",1,guarante latest nokia phone gb ipod mp player prize txt word collect tc llc ny usa p mt msgrcvd
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,1,sunshin quiz win super soni dvd record cannam capit australia text mquiz b
spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,1,guarante award even cashto claim ur award call free stop getstop php rg jx
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,0,wat make peopl dearer de happi dat u feel u meet de pain u feel u miss dem
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",0,pete phone still jenni colleg leann
spam,3. You have received your mobile content. Enjoy,1,receiv mobil content enjoy
ham,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",0,hey babe go ever figur go new year
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,1,dear u invit xchat final attempt contact u txt chat
ham,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.,0,mean februari april get place stay hustl back forth audit season sinc sister move away harlem
ham,Welp apparently he retired,0,welp appar retir
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1,free st week nokia tone ur mobil everi week txt nokia get txting tell ur mate www getz co uk pobox w wq norm p tone
ham,I'm in chennai velachery:),0,chennai velacheri
ham,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-),0,boy love u grl hogolo boy gold chain kodstini grl agalla boy necklac madstini grl agalla boy hogli mutai eerulli kodthini grl love u kano
spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just å£5 by replying GET BBDELUXE and take the challenge,1,block breaker come delux format new featur great graphic mobil buy repli get bbdelux take challeng
spam,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,1,import inform orang user xxxxxxx today lucki day find log onto http www urawinn com fantast surpris await
spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",1,orang custom may claim free camera phone upgrad loyalti call offer end thmarch c appli opt availa
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,1,ur cash balanc current pound maxim ur cash send go p msg cc po box tcr w
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",0,hmmm thought said hour slave late punish
ham,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,0,omg one thing anoth cat worm bad day end
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",1,well done costa del sol holiday await collect call toclaim sae tc pobox stockport sk xh cost pm max min
spam,"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16",1,final chanc claim ur worth discount voucher today text ye savamob member offer mobil cs savamob pobox uz sub
ham,"Come to mu, we're sorting out our narcotics situation",0,come mu sort narcot situat
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",0,sign matur start say big thing actual start understand small thing nice even bslvyl
ham,Its too late:)but its k.wish you the same.,0,late k wish
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",0,love decis feel could decid love life would much simpler less magic
ham,Thanks love. But am i doing torch or bold.,0,thank love torch bold
ham,Is there any training tomorrow?,0,train tomorrow
ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8,0,alex know guy sell mid south tampa think could set like
ham,Jus came back fr lunch wif my sis only. U leh?,0,ju came back fr lunch wif si u leh
spam,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,1,want anytim network min text new video phone five pound per week call repli deliveri tomorrow
ham,How much is torch in 9ja.,0,much torch ja
ham,Please dont say like that. Hi hi hi,0,pleas dont say like hi hi hi
ham,K:)k:)good:)study well.,0,k k good studi well
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",1,know someon know fanci call find pobox ls hb p
spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",1,freemsg claim ur sm messag text ok use web mobil ur mate etc join txt com p wk c box la wu remov txtx stop
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1,nokia tone ur mob everi week txt nok st tone free get txtin tell ur friend p tone repli hl info
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
ham,Anything lor... U decide...,0,anyth lor u decid
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99,1,award sipix digit camera call landlin deliveri within day cs box bp yr warranti ppm p p
ham,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",0,hi hope u get txt journey hasnt gd min late think
spam,URGENT We are trying to contact you Last weekends draw shows u have won a å£1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,1,urgent tri contact last weekend draw show u prize guarante call claim code k valid hr p pm
spam,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,1,privat account statement fone show un redeem point call identifi code expir
ham,Were trying to find a Chinese food place around here,0,tri find chines food place around
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,1,free entri weekli comp chanc win ipod txt pod get entri std txt rate c appli detail
ham,I will see in half an hour,0,see half hour
spam,"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.",1,mobil number claim call us back ring claim hot line
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",1,costa del sol holiday await collect call toclaim sae tc pobox stockport sk xh cost pm max min
spam,Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save å£s with Free texts/weekend calls. Text YES for a callback orno to opt out,1,mobil mth updat latest orang camera video phone free save free text weekend call text ye callback orno opt
ham,Yes:)sura in sun tv.:)lol.,0,ye sura sun tv lol
ham,No. But we'll do medical missions to nigeria,0,medic mission nigeria
ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",0,march end readi call sure problem capit never complet far work ladi
ham,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,0,hey next sun basic yoga cours bugi go pilat intro next sat tell time r free
spam,Win a å£1000 cash prize or a prize worth å£5000,1,win cash prize prize worth
spam,"You are a å£1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",1,winner guarante caller prize final attempt contact claim call ppmpobox bhamb xe
ham,Of course. I guess god's just got me on hold right now.,0,cours guess god got hold right
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",0,use hope agent drop sinc book thing year whole boston nyc experi
ham," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too.",0,came look flat seem ok away alot wiv work got woman come
spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,1,guess first time creat web page www asjesu com read wrote wait opinion want friend
ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,0,lot sick thing go round take easi hope u feel better soon lol
ham,"Nah man, my car is meant to be crammed full of people",0,nah man car meant cram full peopl
ham,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs,0,tell think plu go stop run
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1,know u u know send chat let find p msg rcvd hg suit land row w j hl ldn year
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,1,sm auction brand new nokia auction today auction free join take part txt nokia hg suit land row w j hl
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,pleas call custom servic repres freephon pm guarante cash prize
ham,Oh yeah clearly it's my fault,0,oh yeah clearli fault
spam,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",1,hey boy want hot xxx pic sent direct ur phone txt porn hr free p per day stop text stopbcm sf wc n xx
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,0,heart empti without love mind empti without wisdom eye r empti without dream amp life empti without frnd alwi touch good night amp sweet dream
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,1,urgent mobil number award prize guarante call land line claim valid hr
spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",1,sim subscrib select receiv bonu get deliv door txt word ok claim p msg exp apr
spam,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",1,ou guarante latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",1,hear new divorc barbi come ken stuff
ham,I like to think there's always the possibility of being in a pub later.,0,like think alway possibl pub later
